2022-07-13 13:59:17.015 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898419631587328. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:12:25.126 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898426241810432. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:16:26.843 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m1s765ms894µs350ns).
2022-07-13 14:18:16.037 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898429186211840. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:22:38.775 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898431384027136. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:24:17.391 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898432214499328. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:25:41.631 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=51s455ms201µs132ns).
2022-07-13 14:25:55.261 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898433036582912. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:27:13.018 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898433690894336. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 14:29:43.423 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898434949185536. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:10:05.861 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898455266394112. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:10:28.840 [http-nio-8081-exec-1] WARN  com.tagging.exception.GlobalExceptionHandler - 无token
2022-07-13 15:22:55.421 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898461725622272. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:25:24.640 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'myWebMvcConfig' defined in file [/home/hdtx/code/auto_data_marker/auto_data_marker/target/classes/com/tagging/config/MyWebMvcConfig.class]: Instantiation of bean failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.tagging.config.MyWebMvcConfig]: Constructor threw exception; nested exception is java.lang.NullPointerException
2022-07-13 15:27:54.460 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'myWebMvcConfig' defined in file [/home/hdtx/code/auto_data_marker/auto_data_marker/target/classes/com/tagging/config/MyWebMvcConfig.class]: Instantiation of bean failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.tagging.config.MyWebMvcConfig]: Constructor threw exception; nested exception is java.lang.NullPointerException
2022-07-13 15:28:31.798 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'myWebMvcConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'minio.imgBucket' in value "${minio.imgBucket}"
